name	name_ja	url	country	industry	size	captive	note
ふれんず少額短期保険	ふれんず少額短期保険（株）	https://f-takken.com/syoutan	JP	insurance	sme		
ブレイブ少額短期保険	ブレイブ少額短期保険（株）	https://brave-ss.co.jp	JP	insurance	sme		
フローラル共済	フローラル共済（株）	http://www.floral-shoutan.co.jp/	JP	insurance	sme		
ペットメディカルサポート	ペットメディカルサポート（株）	http://pshoken.co.jp/	JP	insurance	sme		pet
ペッツファースト＆グレイス少額短期保険	ペッツファースト＆グレイス少額短期保険（株）	https://www.pfirst-grace.co.jp/	JP	insurance	sme		pet
ベル少額短期保険	ベル少額短期保険（株）	http://www.bell-shotan.co.jp/	JP	insurance	sme		
ホープ少額短期保険	（株）ホープ少額短期保険	http://www.hope-ins.jp/	JP	insurance	sme		
まごころ少額短期保険	まごころ少額短期保険（株）	http://www.magocoro-ins.com/	JP	insurance	sme		
ミカタ少額短期保険	ミカタ少額短期保険（株）	https://mikata-ins.co.jp/	JP	insurance	sme		
みらい少額短期保険	みらい少額短期保険（株）	http://www.mirai-hoken.co.jp/	JP	insurance	sme		
メディカル少額短期保険	メディカル少額短期保険（株）	http://medical-ssi.co.jp/	JP	insurance	sme		
メモリード・ライフ	（株）メモリード・ライフ	http://memoleadlife.co.jp/	JP	insurance	sme		
もしあん少額短期保険	（株）もしあん少額短期保険	https://www.moshian.co.jp/	JP	insurance	sme		
ヤマダ少額短期保険	（株）ヤマダ少額短期保険	https://www.ymd-ssi.jp/	JP	insurance	sme	ヤマダ	
ユーミーLA少額短期保険	ユーミーLA少額短期保険（株）	http://www.la-shotan.com	JP	insurance	sme		
ユニバーサル少額短期保険	ユニバーサル少額短期保険（株）	http://www.u-ssi.co.jp/	JP	insurance	sme		
ライフ・ステージ少額短期保険	（株）ライフ・ステージ少額短期保険	https://life-stage-ssi.jp/	JP	insurance	sme		
楽天少額短期保険	楽天少額短期保険（株）	https://small-short-ins.rakuten.co.jp/	JP	insurance	sme	楽天	
リトルファミリー少額短期保険	リトルファミリー少額短期保険（株）	https://www.littlefamily-ssi.com/	JP	insurance	sme		
リボン少額短期保険	リボン少額短期保険（株）	https://ribon.com/	JP	insurance	sme		
レキオス少額短期保険	レキオス少額短期保険（株）	https://www.lequios-ins.co.jp/	JP	insurance	sme		
レジデントインシュアランス少額短期保険	レジデントインシュアランス少額短期保険（株）	https://mfhl.mitsui-chintai.co.jp/ri/	JP	insurance	sme	三井不動産	
ワーカーズ・コレクティブ共済	ワーカーズ・コレクティブ共済（株）	https://www.wco-kyousai.com/	JP	insurance	sme		
ワランティ少額短期保険	ワランティ少額短期保険（株）	https://wss.insurance	JP	insurance	sme		
ソニー少額短期保険	ソニー少額短期保険（株）	https://sony-sasti.jp/	JP	insurance	sme		formerly justInCase
